연번,도로명주소,구간길이,허용구간,주차가능종류,주차가능대수,평일허용시작시간,평일허용종료시간,주말허용시작시간,주말허용종료시간,공휴일허용시작시간,공휴일허용종료시간,비고,허용시작위도,허용시작경도,허용끝위도,허용끝경도
1,인천광역시 동구 송향로,170 ,일면,승용,20,21:00,09:00,21:00,09:00,21:00,09:00,,37.48075306442731,126.65229396521559,37.47963747882395,126.652092802889
2,인천광역시 동구 송림로118번길,58 ,일면,승용,4,21:00,09:00,00:00,23:59,,,,37.47660608895501,126.64769775766953,37.4762831832176,126.64743077185945
3,인천광역시 동구 동산로88번길,32 ,일면,승용,2,21:00,09:00,00:00,23:59,,,,37.47601002338549,126.64572213001595,37.4757895937094,126.64582774417819
4,인천광역시 동구 화수부두로1~화수부두로27,120 ,일면,승용,10,,,00:00,23:59,00:00,23:59,,37.48758612055073,126.63114641367662,37.48819305834183,126.63002967806398
5,인천광역시 동구 방축로191번길,195 ,일면,승용,20,20:00,07:00,20:00,07:00,20:00,07:00,,37.47940206069436,126.6657371742044,37.480874001254186,126.66690644436055
6,인천광역시 동구 동산로93~동산로31-1,1200 ,양면,승용,120,22:00,06:00,00:00,23:59,00:00,23:59,,37.47553473731175,126.64496975030286,37.471147183382186,126.64885383580894
7,인천광역시 동구 인중로666~인중로680번길2,260 ,양면,승용,20,22:00,06:00,22:00,06:00,22:00,06:00,,37.48065084476093,126.6459376460923,37.4801883185068,126.64718913256472
8,인천광역시 동구 송림로97~송림로143,480 ,일면,승용,60,22:00,06:00,00:00,23:59,00:00,23:59,조업주차(10:00~17:00)->                    1.5톤 이하 화물차 15분 이내,37.476200577162004,126.64541881323292,37.4776910766523,126.65048795998788
9,인천광역시 동구 화도진로146~화도진로114,620 ,양면,승용,80,22:00,06:00,00:00,23:59,00:00,23:59,,37.483528045905565,126.62642897585592,37.48117779690062,126.62829204466843
10,인천광역시 동구 샛골로199~샛골로159,800 ,양면,승용,100,22:00,06:00,00:00,23:59,00:00,23:59,,37.4801991539142,126.64554124364837,37.47661083713943,126.64476964189622
11,인천광역시 동구 석수로1~석수로35,340 ,양면,승용,23,12:00,07:00,12:00,07:00,12:00,07:00,"14:00~20:00 제외(평일,주말,공휴일)",37.48076161248054,126.62703066086017,37.4794559984691,126.62801227562986
12,인천광역시 동구 새천년로31~새천년로37,50 ,일면,승용,3,12:00,14:00,12:00,14:00,12:00,14:00,,37.471951810334204,126.64977422924754,37.47141036783275,126.64949131440736
13,인천광역시 동구 화도진로2~화도진로68,1360 ,양면,조업,120,10:00,17:00,10:00,17:00,10:00,17:00,1.5톤 이하 화물차 15분 이내,37.47354102842686,126.63674072343362,37.4781094596986,126.63175545140476
14,인천광역시 동구 송현로5~송현로41-2,740 ,양면,승용,80,09:00,06:00,00:00,23:59,00:00,23:59,"17:00~21:00 제외(평일), 24시간 금지 차종 : 2.5t이상,25인승이상",37.477086121752365,126.6337050097713,37.47959254369157,126.63642030601875
15,인천광역시 동구 인중로(송림동 16-4 근처),205 ,일면,승용,20,21:00,07:00,21:00,07:00,21:00,07:00,,37.47962397143994,126.64829127834143,37.478873228089206,126.65034678550343
16,인천광역시 동구 방축로37번길,660 ,양면,조업,80,10:00,17:00,10:00,17:00,10:00,17:00,"1.5톤 이하 화물차,승용차 15분 이내",37.48643598205053,126.65071010790265,37.48906911893023,126.65298756768378
17,인천광역시 동구 방축로61번길,680 ,양면,조업,80,10:00,17:00,10:00,17:00,10:00,17:00,"1.5톤 이하 화물차,승용차 15분 이내",37.48512871957576,126.6527287805494,37.487915457242224,126.65516669159477
18,인천광역시 동구 방축로83번길,620 ,양면,조업,80,10:00,17:00,10:00,17:00,10:00,17:00,"1.5톤 이하 화물차,승용차 15분 이내",37.48437495503675,126.6553186433371,37.48669001970454,126.65746479877922
19,인천광역시 동구 방축로54번길~방축로72번길,220 ,일면,조업,20,10:00,17:00,10:00,17:00,10:00,17:00,"1.5톤 이하 화물차,승용차 15분 이내",37.48542064898004,126.65165894522872,37.484406531906856,126.65379211301001
20,인천광역시 동구 석수로43~석수로97,290 ,일면,승용,39,20:00,07:00,20:00,07:00,20:00,07:00,,37.481026681573155,126.62680039604425,37.483206346841996,126.62513599851991
21,인천광역시 동구 송현로29번길,120 ,일면,승용,15,20:00,07:00,20:00,07:00,20:00,07:00,,37.479554204483186,126.63421585684797,37.47889094832949,126.63534400896829
22,인천광역시 동구 송현로59번길,25 ,일면,승용,5,20:00,08:00,00:00,23:59,00:00,23:59,,37.48063588250504,126.63802635348043,37.48080666374521,126.63789268403278
