지역명,주차허용시작점,주차허용종료점,편도여부,구간길이,길이단위,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,기준일자
석남동,"인천광역시 서구 율도로 98, 석남 국민은행","인천광역시 서구 율도로 115, 진흥아파트 부근",양측,0.3,킬로미터,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,15,2022-09-01
청라동,"인천광역시 서구 중봉대로586번길 22, 청라 엑슬루타워 국민은행","인천광역시 서구 청라라임로 51, 우리은행 청라지점",양측,0.6,킬로미터,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,60,2022-09-01
원당동,"인천광역시 서구 고산후로121번길 15, 원당파리바게뜨","인천광역시 서구 고산후로121번길 21, 명가공인중개사",양측,0.34,킬로미터,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,15,2022-09-01
당하동,"인천광역시 서구 고산후로95번길 32, 푸른솔약국 ","인천광역시 서구 고산후로95번길 10, 뉴시티프라자",양측,0.5,킬로미터,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,20,2022-09-01
심곡동,"인천광역시 서구 서곶로 293, 기업은행","인천광역시 서구 승학로 243, 제스트빌",양측,0.7,킬로미터,12:00:00,14:00:00,,,,,60,2022-09-01
청라동,인천광역시 서구 푸른로 3,인천광역시 서구 옥빛로 4,양측,0.3,킬로미터,12:00:00,14:00:00,,,,,15,2022-09-01
경서동,"인천광역시 서구 도요지로 15, 114 공인중개사","인천광역시 서구 경서로31번길 47, 태평아파트202동 뒷길",양측,0.2,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
검암동,"인천광역시 서구 도요지로 216-1, 프라다빌라 ","인천광역시 서구 도요지로 240, 면의전설",양측,0.52,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
검암동,"인천광역시 서구 승학로 593, 마로니에빌라","인천광역시 서구 승학로 573, 상록할인마트",양측,0.46,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
심곡동,"인천광역시 서구 탁옥로 77, 서부경찰서 앞","인천광역시 서구 탁옥로 104-1, 석주빌리지",일측,0.17,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
신현동,"인천광역시 서구 율도로 55, 아도니스","인천광역시 서구 봉수대로 416-7, 평해백반전문",양측,1,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
가좌동,"인천광역시 서구 가정로38번길 29, 오성보링","인천광역시 서구 가정로37번길 57, 진성모터스",양측,1.7,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
석남동,"인천광역시 서구 서달로163번길 15, 세탁 114","인천광역시 서구 서달로 163번길 4, 김밥사랑",양측,0.3,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
경서동,"인천광역시 서구 호두산로 18, 면허학원","인천광역시 서구 호두산로 74, 두성로보텍",일측,0.5,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
석남동,"인천광역시 서구 건지로153번길 24, 다연정공","인천광역시 서구 석남로 46, 석남완충공원, 염곡로접속지점",양측,1.7,킬로미터,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,2022-09-01
