지역구,지역명,주차 시작점,주차 종료점,구간길이,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,관할동
인천광역시 서구,석남동,"율도로 98, 석남 국민은행","율도로 115, 진흥아파트 부근",0.3,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,15,석남동
인천광역시 서구,청라동,"중봉대로586번길 22, 청라 엑슬루타워 국민은행","청라라임로 51, 우리은행 청라지점",0.6,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,60,청라동
인천광역시 서구,원당동,"고산후로121번길 15, 원당파리바게뜨","고산후로121번길 21, 명가공인중개사",0.34,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,15,원당동
인천광역시 서구,당하동,"고산후로95번길 32, 푸른솔약국 ","고산후로95번길 10, 뉴시티프라자",0.5,12:00:00,14:00:00,06:00:00,22:00:00,06:00:00,22:00:00,20,당하동
인천광역시 서구,심곡동,"서곶로 293, 기업은행","승학로 243, 제스트빌",0.7,12:00:00,14:00:00,,,,,60,심곡동
인천광역시 서구,청라동,푸른로 3,옥빛로 4,0.3,12:00:00,14:00:00,,,,,15,청라동
인천광역시 서구,경서동,"도요지로 15, 114 공인중개사","경서로31번길 47, 태평아파트202동 뒷길",0.2,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,경서동
인천광역시 서구,검암동,"도요지로 216-1, 프라다빌라 ","도요지로 240, 면의전설",0.52,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,검암동
인천광역시 서구,검암동,"승학로 593, 마로니에빌라","승학로 573, 상록할인마트",0.46,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,검암동
인천광역시 서구,심곡동,"탁옥로 77, 서부경찰서 앞","탁옥로 104-1, 석주빌리지",0.17,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,심곡동
인천광역시 서구,신현동,"율도로 55, 아도니스","봉수대로 416-7, 평해백반전문",1,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,신현동
인천광역시 서구,가좌동,"가정로38번길 29, 오성보링","가정로37번길 57, 진성모터스",1.7,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,가좌동
인천광역시 서구,석남동,"서달로163번길 15, 세탁 114","서달로 163번길 4, 김밥사랑",0.3,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,석남동
인천광역시 서구,경서동,"호두산로 18, 면허학원","호두산로 74, 두성로보텍",0.5,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,경서동
인천광역시 서구,석남동,"건지로153번길 24, 다연정공","석남로 46, 석남완충공원, 염곡로접속지점",1.7,"22:00:00, 12:00:00","06:00:00, 14:00:00",06:00:00,24:00:00,00:00:00,24:00:00,,석남동
인천광역시 남동구,구월로,구월로268 구월로284,구월로284,일면 200m,"12:00~14:00(점심/평일,공휴일)",,,,,,,구월4동
인천광역시 남동구,남동대로,간석동211-3 간석동214-28,간석동214-28,일면 180m,"21:00 ~ 06:00(야간/평일,공휴일)",,,,,,,간석2동
인천광역시 남동구,남동대로,간석동275-1 ,간석동277-1,일면 120m,21:00 ~ 06:00,,,,,,,간석2동
인천광역시 남동구,남동대로 239번길,외환은행,공단본부 앞,총(양면) 900m/ 일면450m,07:00~09:00 18:00~20:00 공휴일제외,,,,,,,논현2동
인천광역시 남동구,남동대로 667번길,인천터미널앞,남동경찰서 앞,총(양면) 900m/ 일면450m,심야시간주차허용 24:00~05:00,,,,,,,구월3동
인천광역시 남동구,남동대로916번길,삼익목화아파트(간2복지센터),유영아파트,일면 380m,07:00∼20:00/ 공휴일제외,,,,,,,간석2동
인천광역시 남동구,논현고잔로168번길,논현고잔로168번길,(논현고잔동) 한화기념관 일원,양측 180m,"시간제(09:00~17:00,공휴일)+주정차허용",,,,,,,논현고잔동
인천광역시 남동구,논현로,논현로220,논현로42(홈플러스 슈퍼),일면 90m,12:00~14:00(점심시간),,,,,,,논현2동
인천광역시 남동구,논현로 46번길,토지주택공사앞→청능대로입구,,일면 250m,"07:00~09:00, 18:00~20:00/ 공휴일제외",,,,,,,논현2동
인천광역시 남동구,담방로,장승남로61(담방로4) ↔담방로62(동남주유소),,양면 400m(일면200m),12:00~14:00(점심시간),,,,,,,만수6동
