관할,법정동명,주차허용구간(km),허용시간
인천광역시 미추홀구,용현동,용오로 78-3↔용현굴다리(편측 0.35km),심야시간 22:00~06:00
인천광역시 미추홀구,숭의동,새천년로 6↔새천년로 8-1(편측 0.04km),심야시간 22:00~06:00
인천광역시 미추홀구,학익동,신동아4차 23동↔신동아5차 33동(편측 0.27km),심야시간 22:00~06:00
인천광역시 미추홀구,도화동,장고개로36번길 53↔장고개로36번길 7(편측 0.25km),심야시간 22:00~06:00
인천광역시 미추홀구,숭의동,석정로50번길 23↔석정로50번길 5(편측 0.11km),심야시간 22:00~06:00
인천광역시 미추홀구,주안동,석정로 439↔석정로 455(편측 0.19km),심야시간 22:00~06:00
인천광역시 미추홀구,주안동,용화사사거리↔주안동 18-7(양측 0.37Km),심야시간 22:00~06:00 + 공휴일
인천광역시 미추홀구,학익동,학익동 244-22↔학익동 251-3(편측 0.19km),심야시간 22:00~07:00
인천광역시 미추홀구,학익동,매소홀로 409↔매소홀로 435(편측 0.34Km),주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00
인천광역시 미추홀구,학익동,매소홀로 372↔매소홀로 388(편측 0.17Km),주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00
인천광역시 미추홀구,학익동,소성로 171↔소성로185번길 28(편측 0.2Km),주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00
인천광역시 미추홀구,학익동,소성로 177↔소성로 197(편측 0.23Km),주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00
인천광역시 미추홀구,용현동,매소홀로 53↔매소홀로 63(편측 0.17Km),주말 및 공휴일 06:00~22:00 + 점심 12:00~14:00
인천광역시 미추홀구,용현동,독배로 401↔독배로 403(편측 0.09km),점심시간 12:00~14:00
인천광역시 미추홀구,주안동,인하로 238↔인하로 254-1(편측 0.17km),점심시간 12:00~14:00
인천광역시 미추홀구,주안동,주안로 112↔주안로 122(편측 0.145km),점심시간 12:00~14:00
인천광역시 미추홀구,숭의동,석정로 96↔석정로 112(편측 0.158Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,도화동,도화동 76-8↔도화동 76-18(편측 0.128Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,숭의동,수봉로 1↔수봉로 19(편측 0.208Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,도화동,도화동 633-29↔도화동 624-240 (양측 0.31Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,길파로 16↔길파로 26(편측 0.138Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,주안로 105↔주안로 117-9(편측 0.2Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,용현동,독배로 418-1↔독배로 434(편측 0.226Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,도화동,한나루로 604↔한나루로 598-3(편측 0.07Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,경인로 465↔경인로 497(편측 0.33km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,용현동,인주대로 272-1↔인주대로252번길 1(편측 0.211Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,학익동,한나루로 400↔학익동 263-2(편측 0.106Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,학익동,소성로 147↔소성로 159(편측 0.174Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,관교동,인하로 448↔인하로 458(편측 0.134Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,주안동 1315-16↔주안동1311-35(편측 0.107Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,숭의동,숭의동 303-3↔숭의동 301-7(편측 0.275Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,용현동,인하공전정문↔인하대도서관(편측 0.15Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,인하로 238↔인하로 280(편측 0.4Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,석정로 380↔석정로 411(양측 1.4Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,학익동,매소홀로418번길 5(베스트피쉬수족관)↔매소홀로 442(김밥천국)(편측 0.27Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,주안동,인주대로 467↔인주대로291번길 6(양측 1.8Km),주말 및 공휴일
인천광역시 미추홀구,학익동,학익풍림 110동↔매소홀 어린이공원(편측 0.21Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,도화동,염전로187번길 61↔염전로 181 (편측 0.32Km),주말 및 공휴일 06:00~22:00
인천광역시 미추홀구,숭의동,장천로 39↔장천로 67(편측 0.3Km),주말 및 공휴일 06:00~22:00
